,, Week,2026-02-23,2026-02-23,2026-02-23,2026-02-23,2026-03-02,2026-03-02,2026-03-02,2026-03-02
1477,HOKKAIDO SUSHI,SMB (AM Segment),27.4%,6,0.0%,€21.27,28.1%,10,0.0%,€23.46
1478,THE PUZO PUB,SMB (AM Segment),27.4%,17,0.0%,€18.11,27.8%,21,0.0%,€19.88
1479,ALAZANI,SMB (AM Segment),27.4%,3,100.0%,€40.36,29.5%,3,100.0%,€14.24
1480,MAREVO,SMB (AM Segment),27.4%,38,0.0%,€28.56,27.6%,46,0.0%,€25.11
1481,KRASHCHIY SMAK,SMB (AM Segment),27.3%,2,0.0%,€18.50,25.5%,1,0.0%,€18.67
1482,MONPARK,SMB (AM Segment),27.3%,26,0.0%,€29.29,27.4%,28,0.0%,€22.99
1483,BISTRO STAR,SMB (AM Segment),27.3%,9,0.0%,€11.46,27.6%,10,0.0%,€11.72
1484,CAFE KOHANA,SMB (AM Segment),27.3%,4,0.0%,€12.15,28.0%,4,0.0%,€14.55
1485,RESTORAN MARANI,SMB (AM Segment),27.3%,12,0.0%,€25.70,27.5%,14,0.0%,€29.48
1486,CHITMIL,SMB (AM Segment),27.3%,7,0.0%,€19.53,26.7%,13,0.0%,€24.98
1487,TRUE PIZZA,SMB (AM Segment),27.3%,6,100.0%,€20.51,29.7%,5,100.0%,€30.77
1488,VIET BAR,Mid-market (AM Segment),27.2%,84,0.0%,€21.78,27.1%,93,0.0%,€23.40
1489,FONTAN,Mid-market (AM Segment),27.2%,15,0.0%,€13.95,26.2%,6,0.0%,€16.42
1490,BORSHCH UKRAJINSKYI,Mid-market (AM Segment),27.2%,217,64.7%,€16.12,27.1%,180,64.1%,€18.19
1491,SHAVOMAN IF,SMB (AM Segment),27.2%,4,100.0%,€7.22,27.6%,5,100.0%,€10.28
1492,UKRAINSKE PODVIRYA,SMB (AM Segment),27.2%,10,0.0%,€20.64,27.7%,2,0.0%,€24.03
1493,THE REBRA,SMB (AM Segment),27.2%,9,0.0%,€25.29,27.2%,6,0.0%,€29.84
1494,MY COFFEE,SMB (AM Segment),27.2%,6,0.0%,€13.21,26.2%,7,0.0%,€13.06
1495,DRIVE PARK | FOOD SPOT,SMB (AM Segment),27.2%,1,0.0%,€14.44,,,,
1496,DON VITO,SMB (AM Segment),27.2%,1,0.0%,€22.55,28.6%,16,0.0%,€24.78
1497,NICE TOO MEET YOU,SMB (AM Segment),27.2%,13,0.0%,€18.73,25.6%,7,0.0%,€28.23
1498,KHINKALNYA MIMINOSHI,Mid-market (AM Segment),27.2%,134,0.0%,€27.72,26.9%,110,0.0%,€28.02
1499,SHASH&LAVASH,SMB (AM Segment),27.2%,12,0.0%,€16.20,26.5%,6,0.0%,€22.63
1500,PIZZA45,SMB (AM Segment),27.2%,25,0.0%,€16.39,26.8%,21,0.0%,€15.82
1501,DOMASHNYA REDAKTSIYA,Mid-market (AM Segment),27.2%,406,57.5%,€9.74,27.2%,377,56.5%,€9.83
1502,FOODKIT OD,SMB (AM Segment),27.2%,27,0.0%,€20.28,27.3%,21,0.0%,€17.24
1503,SUBU,SMB (AM Segment),27.2%,5,100.0%,€17.29,28.0%,4,100.0%,€18.52
1504,KUMIDZE RESTO. PUB,SMB (AM Segment),27.2%,2,0.0%,€24.89,,,,
1505,THE SALAD,Mid-market (AM Segment),27.1%,58,100.0%,€18.49,27.2%,69,100.0%,€19.63
1506,BEERLAND,Mid-market (AM Segment),27.1%,235,0.0%,€11.22,27.3%,204,0.0%,€11.68
1507,BEERLAND,SMB (AM Segment),27.1%,12,0.0%,€20.43,26.8%,7,0.0%,€26.09
1508,KUMPEL,SMB (AM Segment),27.1%,21,100.0%,€25.19,26.6%,25,100.0%,€26.24
1509,CELENTANO CHERNIVTSI,Mid-market (AM Segment),27.1%,19,100.0%,€12.41,27.5%,17,100.0%,€12.79
1510,MAHAZYN-KAFE BAVARIA,SMB (AM Segment),27.1%,11,0.0%,€15.71,27.4%,14,0.0%,€20.08
1511,MOYA SHAURMA,SMB (AM Segment),27.1%,24,0.0%,€9.20,27.5%,9,0.0%,€8.45
1512,KAKTUS,SMB (AM Segment),27.1%,3,0.0%,€13.01,25.8%,2,0.0%,€12.22
1513,BORSHCH,SMB (AM Segment),27.1%,18,100.0%,€8.39,27.7%,16,100.0%,€8.31
1514,NICE GUYS,SMB (AM Segment),27.1%,47,0.0%,€19.03,30.0%,31,0.0%,€20.05
1515,SMACHNI SUSHI SVITU,SMB (AM Segment),27.1%,2,0.0%,€16.01,28.0%,1,0.0%,€23.81
1516,YIZHA,Mid-market (AM Segment),27.0%,174,100.0%,€17.90,26.4%,161,100.0%,€20.24
1517,VALENSIYA,SMB (AM Segment),27.0%,8,0.0%,€14.94,25.0%,19,0.0%,€23.18
1518,VETERANO PIZZA,SMB (AM Segment),27.0%,4,0.0%,€14.51,30.0%,4,0.0%,€8.58
1519,MAHAZYN SHASHLYKU,SMB (AM Segment),27.0%,4,0.0%,€17.39,27.8%,6,0.0%,€20.99
1520,SUSHI PLUS,SMB (AM Segment),27.0%,1,0.0%,€13.13,27.0%,1,0.0%,€51.82
1521,SHEMOMECHAMA VNT,SMB (AM Segment),27.0%,4,0.0%,€19.20,27.0%,2,0.0%,€16.84
1522,PASTABASTA,SMB (AM Segment),27.0%,5,0.0%,€21.48,27.0%,5,0.0%,€13.18
1523,LOUI,SMB (AM Segment),27.0%,2,0.0%,€12.93,27.0%,3,0.0%,€12.36
1524,KOCMOC VIN,SMB (AM Segment),27.0%,14,0.0%,€21.13,27.0%,8,0.0%,€16.67
1525,RESTORAN GAGA,Mid-market (AM Segment),27.0%,33,0.0%,€23.58,27.0%,39,0.0%,€29.72
1526,RE:BRO,SMB (AM Segment),27.0%,3,0.0%,€27.20,27.0%,1,0.0%,€12.07
1527,MAKIVKA,SMB (AM Segment),27.0%,20,0.0%,€14.90,27.0%,24,0.0%,€10.38
1528,GOTOVO,Mid-market (AM Segment),27.0%,1,0.0%,€12.66,,,,
1529,TOE TAK,SMB (AM Segment),27.0%,2,0.0%,€13.38,27.0%,1,0.0%,€12.36
1530,BULKA_V_TESLI SOBORNOSTI,SMB (AM Segment),27.0%,1,0.0%,€18.36,27.0%,2,0.0%,€9.11
1531,ZNATNA SHAURMA,SMB (AM Segment),27.0%,11,0.0%,€10.85,27.0%,12,0.0%,€11.96
1532,SILVER,SMB (AM Segment),27.0%,5,0.0%,€13.41,27.0%,5,0.0%,€23.06
1533,DONER HOUSE,SMB (AM Segment),27.0%,1,0.0%,€15.95,27.0%,1,0.0%,€20.23
1534,ROCKIT SUSHI AND PIZZA EU,SMB (AM Segment),27.0%,1,0.0%,€7.31,,,,
1535,AKVARIUM,SMB (AM Segment),27.0%,5,0.0%,€9.74,27.0%,1,0.0%,€17.88
1536,KEBABTSIA,SMB (AM Segment),27.0%,40,0.0%,€11.55,25.2%,48,0.0%,€11.44
1537,PSTRUG HLIB TA VINO,SMB (AM Segment),27.0%,10,0.0%,€18.03,27.0%,12,0.0%,€19.27
1538,KYIV BURGERS,SMB (AM Segment),27.0%,1,0.0%,€7.82,,,,
1539,NEZABAROM/,SMB (AM Segment),27.0%,2,0.0%,€16.48,27.0%,1,0.0%,€15.59
1540,GRILLEXPRESS,SMB (AM Segment),27.0%,7,0.0%,€30.53,27.0%,6,0.0%,€25.73
1541,CHEBURECHNA BRO,SMB (AM Segment),27.0%,5,0.0%,€12.35,27.0%,5,0.0%,€12.62
1542,OLLIVANDERS,SMB (AM Segment),27.0%,4,0.0%,€20.38,27.0%,7,0.0%,€15.55
1543,KOJI SHEVCHENKA,SMB (AM Segment),27.0%,13,0.0%,€14.66,27.0%,6,0.0%,€16.28
1544,LVIVSKA REBERNIA,SMB (AM Segment),27.0%,4,0.0%,€29.09,27.0%,5,0.0%,€19.73
1545,EKAVA,SMB (AM Segment),27.0%,2,0.0%,€8.80,27.0%,1,0.0%,€6.06
1546,AMERIKANO,SMB (AM Segment),27.0%,58,0.0%,€21.36,27.0%,45,0.0%,€22.84
1547,THE FISH,SMB (AM Segment),27.0%,1,0.0%,€22.64,27.0%,4,0.0%,€22.24
1548,PUSHKA PIZZA,SMB (AM Segment),27.0%,1,0.0%,€5.92,27.0%,4,0.0%,€15.70
1549,KAFE BUDDY,SMB (AM Segment),27.0%,20,0.0%,€19.83,26.5%,25,0.0%,€18.83
1550,SHCHEDRYK,SMB (AM Segment),27.0%,1,0.0%,€14.91,32.0%,1,0.0%,€11.41
1551,YIDALNYA 1,SMB (AM Segment),27.0%,2,0.0%,€9.54,27.0%,1,0.0%,€6.74
1552,ART PIZZA KV,SMB (AM Segment),27.0%,3,0.0%,€13.42,25.8%,12,0.0%,€16.48
1553,BALYKEKMEK,SMB (AM Segment),27.0%,9,0.0%,€16.67,27.0%,4,0.0%,€16.57
1554,HAPIZZA,SMB (AM Segment),27.0%,2,0.0%,€12.70,27.0%,1,0.0%,€19.27
1555,KAVA NFT,SMB (AM Segment),27.0%,1,0.0%,€5.51,,,,
1556,BISTRO SHCHODNIA,SMB (AM Segment),27.0%,2,0.0%,€7.66,27.0%,2,0.0%,€10.76
1557,PIVNA DUMA,SMB (AM Segment),27.0%,30,0.0%,€16.72,27.0%,21,0.0%,€17.05
1558,PITSA PALYANYTSYA SUSHI,SMB (AM Segment),27.0%,5,0.0%,€19.41,27.0%,12,0.0%,€10.31
1559,DJOTTO,SMB (AM Segment),27.0%,88,0.0%,€23.13,27.0%,75,0.0%,€24.01
1560,WOW SUSHI BROVARY,SMB (AM Segment),27.0%,1,100.0%,€19.52,27.0%,4,100.0%,€24.40
1561,PERSHA LVIVSKA HRYLIOVA RESTORACIYA MYASA TA SPRAVEDLYVOSTY,Mid-market (AM Segment),27.0%,5,0.0%,€22.05,27.0%,9,0.0%,€25.38
1562,STREET HUB SUSHI ROLL,SMB (AM Segment),27.0%,1,0.0%,€16.90,,,,
1563,SULTAN KOMBOMENU,SMB (AM Segment),27.0%,1,0.0%,€20.09,27.0%,2,0.0%,€12.29
1564,LAVINIA,SMB (AM Segment),27.0%,9,0.0%,€19.14,27.0%,11,0.0%,€19.88
1565,EIGHT BAR COCKTAILS,SMB (AM Segment),27.0%,1,0.0%,€15.82,,,,
1566,PYVNYI KYXOL,SMB (AM Segment),27.0%,12,0.0%,€7.99,27.0%,11,0.0%,€8.86
1567,FOODSCOUT,SMB (AM Segment),27.0%,2,0.0%,€9.79,27.0%,2,0.0%,€10.63
1568,GASTSTÄTTE,SMB (AM Segment),27.0%,2,0.0%,€11.97,27.0%,6,0.0%,€17.85
1569,CHE BAKERY CAFE,SMB (AM Segment),27.0%,1,0.0%,€20.56,27.0%,1,0.0%,€13.46
1570,BUFFET BILA TSERKVA,Mid-market (AM Segment),27.0%,13,100.0%,€13.71,27.0%,8,100.0%,€10.92
1571,RUMI.EATERY,SMB (AM Segment),27.0%,3,0.0%,€10.92,27.0%,3,0.0%,€10.67
1572,OS TSI SUSHI,SMB (AM Segment),27.0%,3,0.0%,€16.79,23.0%,1,0.0%,€36.34
1573,FRESHGO,SMB (AM Segment),27.0%,2,0.0%,€9.81,27.0%,2,0.0%,€6.58
1574,SUSHI&BAGEL,SMB (AM Segment),27.0%,2,0.0%,€10.78,27.0%,4,0.0%,€13.34
1575,REBERNYA GARTENBERG,SMB (AM Segment),27.0%,2,100.0%,€17.48,29.5%,4,100.0%,€19.69
1576,RASSEL SUSHISHOP,SMB (AM Segment),27.0%,2,0.0%,€27.99,25.4%,3,0.0%,€28.04
1577,MAMA HOTUVALA,SMB (AM Segment),27.0%,1,0.0%,€14.89,,,,
1578,KEBABTSIA UA,SMB (AM Segment),27.0%,51,0.0%,€10.84,25.1%,31,0.0%,€13.37
1579,RETRO DOG,SMB (AM Segment),27.0%,9,0.0%,€10.18,27.0%,7,0.0%,€11.09
1580,LEVSTARFOOD,SMB (AM Segment),27.0%,47,0.0%,€14.30,27.0%,21,0.0%,€12.67
1581,SHO,SMB (AM Segment),27.0%,19,0.0%,€26.89,27.0%,19,0.0%,€26.84
1582,EDVA.CAFE,SMB (AM Segment),27.0%,10,0.0%,€12.84,27.0%,15,0.0%,€11.09
1583,ONLY SUSHI,SMB (AM Segment),27.0%,1,0.0%,€25.30,27.0%,2,0.0%,€15.06
1584,PUB74,SMB (AM Segment),27.0%,6,0.0%,€17.91,27.0%,2,0.0%,€8.10
1585,KHOCHU BURHER,SMB (AM Segment),27.0%,12,100.0%,€12.87,27.2%,18,100.0%,€15.82
1586,KAVOVARKA,SMB (AM Segment),27.0%,5,0.0%,€12.00,,,,
1587,FRANKO,SMB (AM Segment),27.0%,1,0.0%,€10.78,27.0%,2,0.0%,€22.49
1588,ПІЦА НА ДРОВАХ,SMB (AM Segment),27.0%,11,0.0%,€10.03,27.0%,17,0.0%,€12.40
1589,LULU PIZZA,SMB (AM Segment),27.0%,21,0.0%,€17.88,27.0%,16,0.0%,€19.20
1590,BURGERS KPD,SMB (AM Segment),27.0%,2,0.0%,€10.02,27.0%,1,0.0%,€5.66
1591,NANASHKO,SMB (AM Segment),27.0%,1,0.0%,€5.69,,,,
1592,ROZHEVYI SUSHI LOUNGE,Mid-market (AM Segment),27.0%,7,0.0%,€18.39,27.0%,11,0.0%,€13.44
1593,ZHOVTE MORE,SMB (AM Segment),27.0%,8,0.0%,€18.53,27.0%,6,0.0%,€22.09
1594,COFFEEOCEAN,SMB (AM Segment),27.0%,2,0.0%,€9.27,27.0%,1,0.0%,€13.71
1595,CHEBUREK,SMB (AM Segment),27.0%,2,100.0%,€14.22,26.0%,3,100.0%,€20.97
1596,RICE AND FISH,SMB (AM Segment),27.0%,7,23.2%,€30.20,27.0%,6,44.9%,€23.55
1597,YOLO REST,SMB (AM Segment),27.0%,1,0.0%,€15.58,27.0%,1,0.0%,€5.70
1598,MAMIE,SMB (AM Segment),27.0%,2,0.0%,€12.26,27.0%,2,0.0%,€21.13
1599,KING SNACK DABBURA,SMB (AM Segment),27.0%,3,0.0%,€23.00,27.0%,2,0.0%,€14.33
1600,RIVALI,SMB (AM Segment),27.0%,2,0.0%,€18.28,27.0%,1,0.0%,€19.72
1601,SHAURMA1,SMB (AM Segment),27.0%,13,0.0%,€13.68,27.0%,16,0.0%,€11.09
1602,NAPOLI,SMB (AM Segment),27.0%,6,0.0%,€13.90,27.0%,6,0.0%,€24.00
1603,TONY,SMB (AM Segment),27.0%,8,0.0%,€23.53,27.0%,2,0.0%,€18.58
1604,MILA VIDA,SMB (AM Segment),27.0%,2,0.0%,€12.95,27.0%,1,0.0%,€29.41
1605,FISHKA ZP,SMB (AM Segment),27.0%,22,0.0%,€17.90,26.9%,32,0.0%,€19.60
1606,PICA SHEF,SMB (AM Segment),27.0%,5,0.0%,€10.07,27.0%,4,0.0%,€12.52
1607,LANATA,SMB (AM Segment),27.0%,6,0.0%,€15.19,27.0%,3,0.0%,€8.70
1608,NAUSHI KYIV,SMB (AM Segment),27.0%,1,0.0%,€26.30,,,,
1609,TRETEMISTSE,SMB (AM Segment),27.0%,1,0.0%,€19.74,27.0%,5,0.0%,€20.01
1610,LEO NOODLE BAR,SMB (AM Segment),27.0%,21,0.0%,€16.62,27.0%,17,0.0%,€17.21
1611,VAR VAR,SMB (AM Segment),27.0%,1,0.0%,€21.81,27.0%,6,0.0%,€14.22
1612,GOOD GIRL,Mid-market (AM Segment),27.0%,18,0.0%,€20.64,27.0%,23,0.0%,€19.59
1613,NEZABAROM,SMB (AM Segment),27.0%,5,0.0%,€9.16,27.0%,2,0.0%,€12.42
1614,LOCKSHICNA NAMINAY,SMB (AM Segment),27.0%,1,0.0%,€7.43,27.0%,1,0.0%,€8.26
1615,MARTIN,SMB (AM Segment),27.0%,1,0.0%,€14.54,,,,
1616,PROEKT,SMB (AM Segment),27.0%,2,0.0%,€12.06,27.0%,2,0.0%,€12.12
1617,A LA MINUTE,SMB (AM Segment),27.0%,5,100.0%,€15.98,28.9%,9,100.0%,€13.24
1618,LISOPYLKA,SMB (AM Segment),27.0%,6,0.0%,€28.09,27.0%,1,0.0%,€41.08
1619,BRATWURST,SMB (AM Segment),27.0%,5,0.0%,€15.96,24.0%,14,0.0%,€12.45
1620,SHASHLYCHOK,SMB (AM Segment),27.0%,36,0.0%,€22.78,27.1%,27,0.0%,€23.13
1621,PANZEROTTI,SMB (AM Segment),27.0%,4,0.0%,€15.81,27.7%,9,0.0%,€13.26
1622,MANGALS,SMB (AM Segment),27.0%,6,0.0%,€13.10,26.6%,9,0.0%,€21.83
1623,MARTI,SMB (AM Segment),27.0%,6,0.0%,€26.51,25.5%,10,0.0%,€24.30
1624,DOGGERIZ,Mid-market (AM Segment),26.9%,63,100.0%,€19.34,26.7%,55,100.0%,€18.39
1625,BURGER CLUB,SMB (AM Segment),26.9%,52,0.0%,€13.90,26.9%,67,0.0%,€13.94
1626,SPICYNOSPICY,SMB (AM Segment),26.9%,11,0.0%,€25.79,26.1%,18,0.0%,€26.84
1627,GAGA,Mid-market (AM Segment),26.9%,97,0.0%,€25.71,26.9%,93,0.0%,€28.16
1628,FOREST,SMB (AM Segment),26.9%,7,0.0%,€26.22,27.0%,7,0.0%,€25.22
1629,SNACK BURGERS YOGURTERIA,SMB (AM Segment),26.9%,6,0.0%,€11.46,25.7%,4,0.0%,€9.27
1630,LOVE&LVIV,SMB (AM Segment),26.9%,26,0.0%,€18.39,26.0%,36,0.0%,€15.62
1631,BASKETROLL BISTRO,SMB (AM Segment),26.9%,10,0.0%,€29.98,28.1%,14,0.0%,€37.38
1632,SHAURMA NA VUHILLI,Mid-market (AM Segment),26.9%,37,100.0%,€9.57,27.9%,23,100.0%,€8.91
1633,IKURA FOOD,Mid-market (AM Segment),26.8%,8,100.0%,€17.78,27.1%,13,100.0%,€16.39
1634,HIMALAYI,SMB (AM Segment),26.8%,35,0.0%,€29.68,27.0%,41,0.0%,€26.77
1635,LITTLE MARIUPOL,Mid-market (AM Segment),26.8%,50,0.0%,€22.45,26.7%,56,0.0%,€19.62
1636,LYSKO,Mid-market (AM Segment),26.8%,12,0.0%,€16.47,29.0%,5,0.0%,€8.04
1637,THE DONER,Mid-market (AM Segment),26.8%,19,100.0%,€18.07,27.3%,18,100.0%,€20.37
1638,ITALIST PROSECCO BAR,SMB (AM Segment),26.8%,48,0.0%,€16.52,26.9%,42,0.0%,€19.40
1639,PITSA CHELENTANO NEZALEZHNOSTI,SMB (AM Segment),26.8%,12,0.0%,€10.06,28.0%,17,0.0%,€13.39
1640,GURU FOOD,SMB (AM Segment),26.8%,11,0.0%,€17.05,27.8%,10,0.0%,€24.48
1641,FROG DOG,Mid-market (AM Segment),26.7%,15,0.0%,€13.31,27.0%,22,0.0%,€10.22
1642,BUDZZINI,SMB (AM Segment),26.7%,16,0.0%,€15.46,27.0%,17,0.0%,€17.35
1643,JAGER BREWERY,SMB (AM Segment),26.7%,1,0.0%,€14.62,26.7%,4,0.0%,€11.42
1644,CHEB HOUSE,SMB (AM Segment),26.7%,7,0.0%,€11.73,28.5%,13,0.0%,€14.27
1645,DOM PIZZA,Mid-market (AM Segment),26.7%,17,0.0%,€16.17,26.9%,15,0.0%,€15.58
1646,CRUZING BURGER,SMB (AM Segment),26.7%,4,0.0%,€12.85,25.5%,4,0.0%,€11.96
1647,TERTKA,Mid-market (AM Segment),26.6%,6,0.0%,€24.71,26.3%,4,0.0%,€18.33
1648,SHAWERMICH,SMB (AM Segment),26.6%,10,0.0%,€17.24,27.1%,16,0.0%,€15.32
1649,DIALEKT,SMB (AM Segment),26.6%,7,0.0%,€11.75,29.0%,1,0.0%,€6.64
1650,OPILLYA,SMB (AM Segment),26.6%,19,0.0%,€14.35,25.3%,15,0.0%,€13.29
1651,BJORK,SMB (AM Segment),26.6%,3,0.0%,€17.33,,,,
1652,MARMI PIZZA,SMB (AM Segment),26.6%,9,0.0%,€14.16,28.0%,9,0.0%,€8.84
1653,CIAO RISTORANE ITALIANO,SMB (AM Segment),26.6%,3,100.0%,€23.94,25.0%,6,100.0%,€20.58
1654,TI AMO PIZZASUSHI,SMB (AM Segment),26.6%,4,100.0%,€14.41,24.7%,4,100.0%,€14.79
1655,SNACKBURGERS,SMB (AM Segment),26.6%,24,0.0%,€13.53,26.6%,19,0.0%,€12.76
1656,VAN ZI BO / VANZIBO,SMB (AM Segment),26.6%,10,0.0%,€18.14,26.7%,8,0.0%,€21.49
1657,CELENTANO LVIV,Mid-market (AM Segment),26.5%,29,0.0%,€15.00,24.0%,56,0.0%,€19.08
1658,MISKA SHAURMA,SMB (AM Segment),26.5%,16,100.0%,€13.64,28.2%,19,100.0%,€11.21
1659,PURI CHVENI KH,Mid-market (AM Segment),26.5%,50,100.0%,€17.96,27.2%,32,100.0%,€17.13
1660,KRAFT PIZZA ROLL,SMB (AM Segment),26.5%,4,100.0%,€21.41,28.0%,4,100.0%,€30.44
1661,MOOD AND BAKERY,SMB (AM Segment),26.5%,3,0.0%,€11.66,25.8%,6,0.0%,€16.59
1662,LAVBARABASH,SMB (AM Segment),26.5%,14,100.0%,€12.44,28.2%,22,100.0%,€9.28
1663,NAVRUZ,SMB (AM Segment),26.5%,8,100.0%,€23.03,26.1%,19,100.0%,€22.61
1664,ALA CAFE,SMB (AM Segment),26.5%,9,0.0%,€13.34,26.9%,15,0.0%,€14.38
1665,LYSKO KEBAB DRIVE,Mid-market (AM Segment),26.5%,55,0.0%,€13.76,26.6%,74,0.0%,€15.79
1666,SPICY CHANG MEXICAN STREET FOOD,SMB (AM Segment),26.5%,5,100.0%,€24.95,25.2%,4,100.0%,€20.43
1667,TERRACE,SMB (AM Segment),26.5%,5,0.0%,€16.65,25.5%,1,0.0%,€35.08
1668,FUGAZZETA,SMB (AM Segment),26.5%,54,0.0%,€23.60,25.8%,56,0.0%,€24.75
1669,BUKOVYNSKA KITCHEN,SMB (AM Segment),26.5%,2,0.0%,€11.03,26.7%,4,0.0%,€11.60
1670,SYCYLIJSKYJ DVORYK,SMB (AM Segment),26.5%,14,0.0%,€19.93,26.6%,34,0.0%,€20.50
1671,DE MORE,SMB (AM Segment),26.4%,27,100.0%,€20.20,27.0%,36,100.0%,€21.95
1672,SUSHI NA SUSHI,Mid-market (AM Segment),26.4%,5,100.0%,€23.61,26.4%,13,100.0%,€22.36
1673,DRUG,SMB (AM Segment),26.4%,4,0.0%,€12.48,28.0%,2,0.0%,€16.32
1674,POKEWAY,SMB (AM Segment),26.4%,8,100.0%,€12.42,25.7%,13,100.0%,€14.60
1675,KAFE MILAN,SMB (AM Segment),26.4%,3,0.0%,€20.69,,,,
1676,FOOD&KYIV,SMB (AM Segment),26.4%,3,0.0%,€10.44,28.0%,6,0.0%,€14.65
1677,LOKSHAIF,SMB (AM Segment),26.3%,14,0.0%,€13.28,23.2%,18,0.0%,€12.75
1678,UMAMI LAB,SMB (AM Segment),26.3%,27,100.0%,€23.97,28.1%,22,100.0%,€21.27
1679,BROOKLYN BAR,SMB (AM Segment),26.3%,6,100.0%,€29.83,29.0%,7,100.0%,€19.65
1680,SAMURAJ SUSHI,SMB (AM Segment),26.3%,7,0.0%,€20.35,26.9%,10,0.0%,€20.16
1681,SHYNOK,SMB (AM Segment),26.3%,6,0.0%,€13.24,25.2%,2,0.0%,€24.89
1682,MEGA BULKA,SMB (AM Segment),26.3%,12,0.0%,€14.56,27.0%,17,0.0%,€16.16
1683,WHAI THAI,SMB (AM Segment),26.3%,18,0.0%,€21.91,26.9%,26,0.0%,€22.67
1684,TAMAGO,SMB (AM Segment),26.3%,6,100.0%,€11.09,28.0%,5,100.0%,€17.72
1685,LITTLE MARIUPOL LVI,SMB (AM Segment),26.3%,31,0.0%,€18.23,25.8%,45,0.0%,€18.30
1686,TOKIO KHM,SMB (AM Segment),26.3%,5,100.0%,€14.41,28.0%,4,100.0%,€21.57
1687,BARBOSS BEER AND PIZZA,SMB (AM Segment),26.3%,3,0.0%,€34.14,,,,
1688,PIZZA IF,SMB (AM Segment),26.3%,1,0.0%,€15.09,26.5%,3,0.0%,€14.13
1689,SPOHAD,SMB (AM Segment),26.2%,2,0.0%,€47.91,26.3%,3,0.0%,€18.26
1690,PASTA DEMONTE,SMB (AM Segment),26.2%,4,0.0%,€17.27,26.2%,4,0.0%,€18.89
1691,PIZZA DEMONTE,SMB (AM Segment),26.2%,3,0.0%,€14.81,25.0%,5,0.0%,€14.81
1692,NAMI SUSHI,SMB (AM Segment),26.2%,1,0.0%,€30.89,,,,
1693,SALAD&FRESH,SMB (AM Segment),26.2%,5,0.0%,€9.50,26.2%,6,0.0%,€24.63
1694,PIZZA DELLA MOZZARELLA,SMB (AM Segment),26.2%,6,0.0%,€13.80,26.9%,3,0.0%,€36.56
1695,MRL-PIZZA,Mid-market (AM Segment),26.2%,17,0.0%,€18.94,26.4%,16,0.0%,€15.25
1696,MILLIM SHAURMA,SMB (AM Segment),26.2%,8,0.0%,€11.52,28.3%,6,0.0%,€15.05
1697,SHAVUCHA TEAM,Mid-market (AM Segment),26.2%,94,0.0%,€10.00,29.5%,88,0.0%,€10.65
1698,YAROSLAVSKYI,SMB (AM Segment),26.2%,27,0.0%,€26.03,26.3%,30,0.0%,€20.89
1699,SHAURMAKS,SMB (AM Segment),26.2%,15,0.0%,€13.83,27.2%,10,0.0%,€12.12
1700,AZBUKA ZDOROVJA,SMB (AM Segment),26.2%,2,0.0%,€26.27,,,,
1701,TEST,SMB (AM Segment),26.2%,6,0.0%,€25.50,26.5%,10,0.0%,€27.24
1702,"O,SHAWERMA",SMB (AM Segment),26.1%,12,0.0%,€11.00,26.9%,3,0.0%,€8.00
1703,BLACK CAT,SMB (AM Segment),26.1%,39,0.0%,€15.50,26.4%,39,0.0%,€15.56
1704,IKURA,SMB (AM Segment),26.1%,2,0.0%,€15.84,26.8%,7,0.0%,€23.17
1705,DONO,Mid-market (AM Segment),26.1%,76,100.0%,€13.81,25.3%,67,97.7%,€13.86
1706,FAMILY SUSHI KV,SMB (AM Segment),26.1%,11,0.0%,€30.01,26.1%,10,0.0%,€25.25
1707,GYROS PITA,SMB (AM Segment),26.1%,3,0.0%,€15.86,27.4%,7,0.0%,€15.73
1708,LAPSHA TA BURHERY,SMB (AM Segment),26.1%,2,0.0%,€14.83,26.1%,1,0.0%,€11.13
1709,SANDWICH PIZZA,SMB (AM Segment),26.1%,13,50.2%,€11.77,22.5%,14,63.6%,€11.56
1710,SUSHI STORY,Mid-market (AM Segment),26.1%,88,71.1%,€20.69,26.1%,132,0.0%,€20.89
1711,TATARKA CHEBUREKY POKRYMSKY,Mid-market (AM Segment),26.1%,29,94.4%,€16.44,26.5%,22,100.0%,€16.13
1712,BOOM BURGERS,SMB (AM Segment),26.1%,9,0.0%,€15.88,26.6%,5,0.0%,€18.47
1713,TBONE PRIME BEEF,SMB (AM Segment),26.1%,76,0.0%,€26.67,26.0%,81,0.0%,€26.22
1714,BAZA STREET FOOD,SMB (AM Segment),26.1%,46,0.0%,€15.61,25.5%,50,0.0%,€14.93
1715,SMAK DOMY,Mid-market (AM Segment),26.0%,28,0.0%,€18.33,21.6%,44,0.0%,€17.28
1716,PIZZABOX,Mid-market (AM Segment),26.0%,138,0.0%,€10.64,26.0%,160,0.0%,€11.15
1717,WAFFLES LAND,SMB (AM Segment),26.0%,1,0.0%,€11.23,,,,
1718,UNIFORCE,SMB (AM Segment),26.0%,8,0.0%,€25.98,26.0%,8,0.0%,€19.85
1719,SANDO,SMB (AM Segment),26.0%,2,0.0%,€6.55,26.0%,2,0.0%,€8.13
1720,THE KHMIL,SMB (AM Segment),26.0%,1,100.0%,€10.56,33.0%,2,100.0%,€8.85
1721,LVIVSKI KRANY,Mid-market (AM Segment),26.0%,10,6.3%,€12.88,26.0%,15,0.0%,€14.46
